<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.04	17.999	18.942	17.846	18.819	136483	0	0
2022.09.11	18.949	20.012	18.778	19.550	163054	0	0
2022.09.18	19.541	19.920	18.771	18.875	162942	0	0
2022.09.25	18.782	19.290	17.962	19.026	190895	0	0
2022.10.02	19.082	21.239	19.045	20.124	185844	0	0
2022.10.09	20.098	20.180	18.085	18.257	192117	0	0
2022.10.16	18.317	19.312	18.225	19.310	173900	0	0
2022.10.23	19.459	19.775	18.784	19.241	192465	0	0
2022.10.30	19.173	20.906	18.829	20.827	176006	0	0
2022.11.06	20.534	22.061	20.379	21.684	202373	0	0
2022.11.13	21.565	22.248	20.749	20.914	193438	0	0
2022.11.20	20.979	21.676	20.576	21.453	145794	0	0
2022.11.27	21.338	23.231	20.861	23.129	178657	0	0
2022.12.04	23.056	23.676	22.018	23.476	177322	0	2
2022.12.11	23.382	24.120	22.545	23.211	188471	0	4
2022.12.18	23.171	24.288	22.826	23.665	167278	0	5
2022.12.25	23.853	24.277	23.453	23.789	104813	0	4
2023.01.01	24.109	24.537	23.107	23.832	144295	0	4
2023.01.08	23.863	24.287	23.210	24.248	156065	0	4
2023.01.15	24.249	24.495	23.155	23.920	146142	0	4
2023.01.22	23.926	24.286	22.749	23.584	137769	0	4
2023.01.29	23.569	24.628	22.280	22.344	151138	0	4
2023.02.05	22.285	22.606	21.816	21.999	145314	0	4
2023.02.12	21.977	22.077	21.172	21.717	150396	0	4
2023.02.19	21.696	21.973	20.723	20.749	134273	0	4
2023.02.26	20.783	21.266	20.417	21.240	121554	0	4
2023.03.05	21.189	21.296	19.885	20.513	133132	0	5
2023.03.12	20.835	22.598	20.573	22.560	199647	0	5
2023.03.19	22.563	23.520	22.149	23.218	168454	0	5
2023.03.26	23.164	24.153	22.821	24.078	109875	0	5
2023.04.02	24.037	25.122	23.555	24.971	99208	0	5
